Date,City,Cafe_Name,Coffee_Name,Producer_Farm,Origin,Varietal,Process,Roast_Level,Brew_Method,Dose_g,Yield_g,Ratio,Water_Temp_C,Bloom,Grinder,Price_SGD,Official_Notes,Your_Verdict,Technical_Enrichment,Visit_Context,Source
2026-01-03,"Ubud, Bali",Seniman Coffee Studio,Bali Karana Kintamanis,Unknown,"Kintamani, Bali",Unknown,Natural,Light,Filter,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean citrus; floral,Excellent clarity for a natural process; clean citrus and floral notes.,Natural processing contributed mild fruit-forward esters with relatively clean finish; foundational exposure to local Indonesian origins.,Bali family trip,Merged (Gemini + ChatGPT)
2026-01-04,"Ubud, Bali",Seniman Coffee Studio,Sulawesi Toraja,Unknown,"Sulawesi, Indonesia",Unknown,Wet-Hulled,Medium,Pour-over,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cocoa; earthy structures,Heavy body with rich cocoa and earthy notes; low acidity; dense mouthfeel.,Classic Giling Basah wet-hulled process emphasized earthy compounds and syrupy mouthfeel; structural density confirmed.,Bali family trip,Merged (Gemini + ChatGPT)
2026-01-04,"Ubud, Bali",Seniman Coffee Studio,House Blend,Unknown,Unknown,Unknown,Unknown,Espresso Roast,Piccolo,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Balanced,Great milk integration; standard espresso + milk calibration.,Baseline milk pairing; milk fats softened acidity and amplified sweetness and body.,Bali family trip,Merged (Gemini + ChatGPT)
2026-02-10,Singapore,Kyuukei Coffee,Kenya Kiamugumo AA,New Ngariama Farmer's Cooperative Society,"Kiamugumo, Murang'a County, Kenya",SL28 / SL34,Washed,Unknown,Pour-over (Flat-Bottom),15,240,1:16,93,Unknown,120mm Hybrid Burr,8,"Blackcurrant, Lemon, Citrus Zest, Mineral Finish","Extremely clean and structured — classic Kenyan profile. Bright blackcurrant acidity layered with lemon and light white grape sweetness. Clarity was the standout: no fermentation noise, no muddiness — precise, well-executed extraction. Compelling demonstration of how a well-processed washed coffee performs when roasted and brewed correctly. Phosphoric acid signature fully confirmed across all phases.",120mm hybrid burr grinder delivered uniform particle distribution; flat-bottom pour-over geometry ensured even extraction across the full puck. 93°C water temp and 1:16 lean ratio preserved SL28/SL34 phosphoric acid clarity without over-extracting into bitterness. Brew time 2:45 consistent with controlled drawdown on flat-bottom geometry. Kenyan phosphoric acid and anthocyanin-driven blackcurrant notes are varietal signatures of Scott Laboratories SL28/SL34 genetics.,"Solo visit — early archive period, first Kyūkei filter audit",Direct observation + infographic + Google review (10 Feb 2026)
2026-03-01,Mumbai,Subko Coffee Roasters,Project Pearl Ratnagiri,Ratnagiri Estate,India,Unknown,Anaerobic Natural,Light (Agtron 89),Filter,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean and balanced; interesting but restrained anaerobic expression.,Very light roast (Agtron 89) suppressed ester development despite anaerobic process; muted expected fermented intensity.,Mumbai café exploration,Merged (Gemini + ChatGPT)
2026-03-08,Mumbai,Grey Soul Coffee Roasters,Raspberry in Loop - Zoya Estate,Zoya Estate,India,Unknown,Multi-stage Anaerobic,Medium,Filter,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Chocolate,Heavy body; over-smoothed expression muted brightness and terroir.,Higher development in medium roast reduced aggressive fruit acidity; heavy multi-stage fermentation suppressed terroir expression.,Mumbai café exploration,Merged (Gemini + ChatGPT)
2026-03-18,Singapore,Narrative Coffee Stand,Finca La Siberia,Unknown,El Salvador,Pacamara,Natural,Light,Pour-over,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Stewed apples; Apricot; Pu'er tea — Aanya's first specialty filter experience.,Natural Pacamara generated beginner-friendly fruit esters and approachable sweetness; large Pacamara bean size aided even extraction.,Father-daughter coffee exploration,ChatGPT only
2026-03-18,Singapore,Narrative Coffee Stand,El Puente,Unknown,Honduras,Catuai,Washed,Medium-Light,Espresso,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Black cherry; Apricot; Pecan — ordered for espresso contrast.,Washed Central American espresso balanced nutty sweetness and fruit acidity; Catuai's consistent cell structure aided uniform extraction.,Father-daughter coffee exploration,ChatGPT only
2026-03-18,Singapore,ASK Coffee Roastery,Honduras Masaguara (S13),Unknown,Honduras,Catuai / Caturra,Washed Co-Ferment,Light,Pour-over,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,15,Lychee; Brandy; Honeydew; Milk Chocolate,Premium but memorable; highly complex tropical profile.,Co-fermentation amplified tropical ester complexity; co-ferment substrates introduced lychee lactones and brandy-like ethyl esters.,Father-daughter coffee exploration,ChatGPT only
2026-03-18,Singapore,ASK Coffee Roastery,House Blend,Unknown,Unknown,Unknown,Unknown,Unknown,Magic (Ristretto Milk),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Contrast milk calibration; excellent concentrated cocoa expression.,Ristretto milk extraction increased sweetness density and concentrated cocoa compounds through reduced water content.,Father-daughter coffee exploration,ChatGPT only
