Date,City,Cafe_Name,Coffee_Name,Varietal,Process,Roast_Level,Brew_Method,Dose_g,Yield_g,Ratio,Bloom,Grinder,Price_Local,Official_Notes,Your_Verdict,Technical_Enrichment
2026-01-03,"Ubud, Bali",Seniman Coffee Studio,Bali Karana Kintamanis,Unknown,Natural,Light,Filter,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean citrus; floral,Excellent clarity for a natural process; clean citrus and floral notes.,Natural processing contributed mild fruit-forward esters with relatively clean finish; foundational exposure to local Indonesian origins.
2026-01-04,"Ubud, Bali",Seniman Coffee Studio,Sulawesi Toraja,Unknown,Wet-Hulled,Medium,Pour-over,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cocoa; earthy structures,Heavy body with rich cocoa and earthy notes; low acidity; dense mouthfeel.,Classic Giling Basah wet-hulled process emphasized earthy compounds and syrupy mouthfeel; structural density confirmed.
2026-01-04,"Ubud, Bali",Seniman Coffee Studio,House Blend,Unknown,Unknown,Espresso Roast,Piccolo,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Balanced,Great milk integration; standard espresso + milk calibration.,Baseline milk pairing; milk fats softened acidity and amplified sweetness and body.
2026-02-10,Singapore,Kyuukei Coffee,Kenya Kiamugumo AA,SL28 / SL34,Washed,Unknown,Pour-over (Flat-Bottom),15,240,1:16,Unknown,120mm Hybrid Burr,Unknown,Unknown,Excellent baseline for clarity; high clarity phosphoric acidity with distinct blackcurrant notes.,120mm hybrid burrs and flat-bottom geometry reinforced clarity; Kenyan washed profile emphasized structured phosphoric acidity and blackcurrant.
2026-03-01,Mumbai,Subko Coffee Roasters,Project Pearl Ratnagiri,Unknown,Anaerobic Natural,Light (Agtron 89),Filter,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean and balanced; interesting but restrained anaerobic expression.,Very light roast (Agtron 89) suppressed ester development despite anaerobic process; muted expected fermented intensity.
2026-03-08,Mumbai,Grey Soul Coffee Roasters,Raspberry in Loop - Zoya Estate,Unknown,Multi-stage Anaerobic,Medium,Filter,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Chocolate,Heavy body; over-smoothed expression muted brightness and terroir.,Higher development in medium roast reduced aggressive fruit acidity; heavy multi-stage fermentation suppressed terroir expression.
2026-03-18,Singapore,Narrative Coffee Stand,Finca La Siberia,Pacamara,Natural,Light,Pour-over,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Stewed apples; Apricot; Pu'er tea — Aanya's first specialty filter experience.,Natural Pacamara generated beginner-friendly fruit esters and approachable sweetness; large Pacamara bean size aided even extraction.
2026-03-18,Singapore,Narrative Coffee Stand,El Puente,Catuai,Washed,Medium-Light,Espresso,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Black cherry; Apricot; Pecan — ordered for espresso contrast.,Washed Central American espresso balanced nutty sweetness and fruit acidity; Catuai's consistent cell structure aided uniform extraction.
2026-03-18,Singapore,ASK Coffee Roastery,Honduras Masaguara (S13),Catuai / Caturra,Washed Co-Ferment,Light,Pour-over,Unknown,Unknown,Unknown,Unknown,Unknown,15.00,Lychee; Brandy; Honeydew; Milk Chocolate,Premium but memorable; highly complex tropical profile.,Co-fermentation amplified tropical ester complexity; co-ferment substrates introduced lychee lactones and brandy-like ethyl esters.
2026-03-18,Singapore,ASK Coffee Roastery,House Blend,Unknown,Unknown,Unknown,Magic (Ristretto Milk),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Contrast milk calibration; excellent concentrated cocoa expression.,Ristretto milk extraction increased sweetness density and concentrated cocoa compounds through reduced water content.
2026-03-22,Singapore,Apartment Coffee,Colombia Don Gallego - Wush Wush,Wush Wush,Washed,Light,Pour-over (Flat-Bottom),Unknown,Unknown,1:17,Unknown,Unknown,Unknown,Tea-like,Incredible tea-like clarity; transparent floral expression.,Lean 1:17 ratio maximized aromatic separation; Wush Wush's Ethiopian-lineage genetics produced delicate phenolic and floral complexity.
2026-03-24,Singapore,Kyuukei Coffee,Kenya Ndiaini AA,SL28 / SL34 / Ruiru 11,Washed,Unknown,Pour-over,Unknown,Unknown,Unknown,Unknown,Unknown,9.00,Redcurrant; Elderflower; Lemon; Apricot,Acidic and interesting; well balanced; high clarity.,Ruiru 11 introduced structural body alongside classic SL28/SL34 brightness; further Kenyan terroir depth confirmed.
2026-03-25,Singapore,Agora Coffee,Nicaragua Matagalpa - Finca La Virgen,Unknown,Fully Washed,Espresso Roast,Flat White,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Caramel; Chocolate; Red Apple,Solid milk beverage; clean apple acidity preserved in milk integration.,Fully washed Central American profile preserved clean malic acidity in milk; espresso roast development amplified caramel Maillard notes.
2026-03-27,Singapore,Agora Coffee,Ethiopia Yirgacheffe Beloya,Heirloom,Natural,Filter Roast,V60,15,220,1:14.6,Unknown,Mahlkönig EK43,Unknown,Blackcurrant; Strawberry; White Floral,"Bright, floral, and distinct strawberry; classic natural Ethiopian profile.",EK43 98mm flat burrs reduced fines and preserved clarity despite natural processing; 1:14.6 ratio retained fruity body.
2026-03-28,Singapore,Tiong Hoe Specialty Coffee,Brazil Mogiana,Unknown,Natural,Medium,Pour-over,15,225,1:15,Unknown,Unknown,8.00,Red Dates; Chocolates; Honey,Chocolate-heavy and satisfying; classic dense Brazilian profile.,Tighter 1:15 ratio increased body and amplified Maillard-derived caramel sweetness; medium roast caramelized sugars without losing origin character.
2026-03-28,Singapore,Tiong Hoe Specialty Coffee,Smoky Quartz Blend,Unknown,Unknown,Unknown,Piccolo Latte,Unknown,Unknown,Unknown,Unknown,Unknown,5.10,Dark Chocolates; Hazelnut; Smoky,Strong milk side calibration; excellent concentrated cocoa expression.,Low milk volume in piccolo format concentrated cocoa and hazelnut compounds; cross-origin blend leveraged Indian robusta structural density.
2026-03-29,Singapore,Asylum Coffeehouse,Peru Cajamarca Gesha (Iced),Gesha,Washed,Medium,Iced Pour-over,15,240,1:16,Unknown,Option-O Lagom P64,11.00,Jasmine; Caramel; Lime; Cacao Nibs,Super floral and elegant; flash-chilled expression of Gesha purity.,Flash-chilled extraction via Option-O Lagom P64 preserved volatile floral monoterpenes (linalool); cold dilution stabilized aromatic compounds.
2026-04-01,Singapore,Maxi Coffee Bar,La Laja,Sudan Rume,Washed,Light,Pour-over (Flat-Bottom),15,230,1:15.3,Unknown,FM Grinder 120mm Flat Burr / Timemore Sculptor 078,9.00,Raspberry; Nectarine; Floral,Nectarine and raspberry extremely clear; barista sophistication superb; technical milestone.,120mm flat burr geometry maximized uniform particle distribution; flat-bottom brewer enhanced sweetness while preserving Sudan Rume's rare genetic clarity.
2026-04-01,Singapore,Lume Café,Corpachi Panama Geisha,Geisha,Red Honey,Filter Roast,V60,Unknown,Unknown,1:15,Unknown,Mahlkönig EK43,12.00,Mandarin Candy; Jasmine; Apricot,Clearly perceived apricot and structured sweetness.,Dual-temperature extraction balanced aromatics and body in honey-process Geisha; red honey partial mucilage retention amplified structured sweetness.
2026-04-05,Singapore,Asylum Coffeehouse,Castillo Watermelon (Jairo Arcila),Castillo,Washed Co-Ferment (Watermelon Anaerobic),Unknown,Pour-over (V60),15,225,1:15,Unknown,Mahlkönig EK43,12.50,Watermelon; Mint; Lime; Chocolate,Distinct fruit-forward expression; sweetness layered rather than sharp; experimental but controlled.,Watermelon co-fermentation enhanced volatile ester complexity; dual-temperature extraction preserved layered aromatic architecture.
2026-04-05,Singapore,Asylum Coffeehouse,Peru Gesha (Wilder Garcia),Gesha,Washed,Filter Roast,Pour-over (V60),15,225,1:15,Unknown,Mahlkönig EK43,12.50,Jasmine; Caramel; Lime; Cacao Nibs,"Clean, structured, high-clarity cup; apricot-like sweetness and excellent structure.",Dual-temperature extraction engineered aromatic separation and body control; Gesha genetics delivered intrinsic phenolic complexity with minimal processing interference.
