Date,City,Cafe_Name,Coffee_Name,Varietal,Process,Roast_Level,Brew_Method,Dose_g,Yield_g,Ratio,Bloom,Grinder,Price_Local,Official_Notes,Your_Verdict,Technical_Enrichment
2026-01-10,"Ubud, Bali",Seniman Coffee Studio,Bali Karana Kintamanis,Unknown,Natural,Light,Pour-over,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean citrus; floral,"Excellent clarity for a natural process, bright and floral.",Established foundational exposure to local Indonesian origins.
2026-01-10,"Ubud, Bali",Seniman Coffee Studio,Sulawesi Toraja,Unknown,Semi-Washed / Wet-Hulled,Medium,Pour-over,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cocoa; earthy structures,Heavy body with rich cocoa notes.,Demonstrated the structural density of the wet-hulled process.
2026-01-10,"Ubud, Bali",Seniman Coffee Studio,House Blend,Unknown,Unknown,Espresso Roast,Piccolo,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Balanced,Great milk integration.,Baseline for espresso and milk pairing.
2026-02-15,Singapore,Kyuukei Coffee,Kenya Kiamugumo AA,Unknown,Washed,Unknown,Pour-over (Flat-Bottom),Unknown,Unknown,Unknown,Unknown,120mm Hybrid Burr,Unknown,Unknown,Excellent baseline for clarity.,Established a high-clarity washed baseline using 120mm hybrid burrs and flat-bottom geometry.
2026-02-28,Singapore,Kyuukei Coffee,Kenya Ndiaini AA,Unknown,Washed,Unknown,Pour-over,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,High clarity.,Further exploration of Kenyan terroir.
2026-03-01,Mumbai,Subko Coffee Roasters,Project Pearl Ratnagiri,Unknown,Experimental Anaerobic,Unknown,Pour-over,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean and balanced despite intense process.,Analyzed advanced experimental processing in India.
2026-03-08,Mumbai,Grey Soul Coffee Roasters,Raspberry in Loop,Unknown,Multi-stage Anaerobic,Unknown,Pour-over,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Chocolate,"Heavy body, over-smoothed expression muted the brightness.",Observed how heavy fermentation can mute terroir.
2026-03-15,Singapore,Apartment Coffee,Colombia Wush Wush,Wush Wush,Washed,Unknown,Pour-over,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tea-like,Incredible tea-like clarity.,Mapped the delicate genetics of Wush Wush.
2026-03-18,Singapore,Agora Coffee,Nicaragua Matagalpa,Unknown,Washed,Espresso Roast,Flat White,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Solid milk beverage.,Audited Central American washed profile in milk.
2026-03-18,Singapore,Agora Coffee,Ethiopia Beloya,Unknown,Natural,Unknown,V60,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Classic natural profile.,Baseline check for Ethiopian naturals.
